Subjectivity,Polarity
0.5,0.0
0.47777777777777775,0.06888888888888889
0.35,-0.225
0.5546296296296297,-0.16018518518518518
0.1,0.0
0.5772727272727273,-0.13181818181818183
0.2809523809523809,0.20952380952380953
0.375,-0.125
0.44629629629629636,0.23148148148148148
0.55,0.04999999999999999
0.6733333333333332,-0.4
0.3542087542087542,0.19848484848484846
0.06666666666666667,-0.16666666666666666
0.4817460317460318,-0.03131313131313133
0.55,-0.050000000000000024
0.6527777777777778,-0.15555555555555556
0.7,0.20000000000000004
0.3666666666666667,0.3333333333333333
0.4375,0.10416666666666667
0.38809523809523805,-0.04285714285714285
0.0,0.0
0.8571428571428571,-0.8928571428571429
0.8200000000000001,-0.24000000000000005
0.22291666666666665,-0.06666666666666667
0.5541666666666667,0.08333333333333333
0.6833333333333332,0.6166666666666667
0.325,0.175
0.55,0.275
0.4694444444444444,0.0704861111111111
0.4166666666666667,0.28333333333333327
0.64375,0.44166666666666665
0.6348484848484849,-0.10454545454545457
0.6214285714285716,0.049999999999999996
0.45,0.4125
1.0,-1.0
0.4147727272727273,0.005681818181818177
0.45714285714285713,-0.3482142857142857
0.3277777777777778,-0.06666666666666665
0.0,0.0
0.6,-0.2
